,x,y
20441,39 minus 67,-28
20442,16 plus 82,98
20443,35 minus 100,-65
20444,53 subtract 14,39
20445,83 add 50,133
20446,41 plus 84,125
20447,39 plus 65,104
20448,98 add 42,140
20449,81 subtract 99,-18
20450,33 subtract 44,-11
20451,26 plus 30,56
20452,24 plus 50,74
20453,49 minus 41,8
20454,49 minus 89,-40
20455,11 add 36,47
20456,53 plus 58,111
20457,19 minus 66,-47
20458,79 minus 66,13
20459,66 subtract 26,40
20460,91 plus 57,148
20461,1 subtract 57,-56
20462,89 minus 10,79
20463,98 add 39,137
20464,34 subtract 12,22
20465,64 add 54,118
20466,74 add 68,142
20467,22 minus 64,-42
20468,3 minus 11,-8
20469,67 plus 49,116
20470,68 subtract 3,65
20471,3 plus 17,20
20472,88 minus 20,68
20473,19 plus 17,36
20474,70 minus 40,30
20475,74 plus 98,172
20476,2 plus 35,37
20477,10 add 38,48
20478,15 plus 50,65
20479,13 plus 32,45
20480,80 plus 58,138
20481,77 add 89,166
20482,35 subtract 47,-12
20483,2 plus 57,59
20484,42 plus 85,127
20485,62 subtract 39,23
20486,96 minus 52,44
20487,23 plus 85,108
20488,28 plus 17,45
20489,75 subtract 65,10
20490,33 subtract 72,-39
20491,78 subtract 42,36
20492,3 plus 69,72
20493,83 add 84,167
20494,23 add 75,98
20495,40 add 22,62
20496,52 plus 100,152
20497,52 subtract 42,10
20498,65 subtract 75,-10
20499,39 add 84,123
20500,33 minus 40,-7
20501,47 subtract 23,24
20502,6 minus 72,-66
20503,38 plus 12,50
20504,39 plus 2,41
20505,98 plus 76,174
20506,48 plus 55,103
20507,82 add 14,96
20508,99 minus 79,20
20509,29 plus 16,45
20510,41 add 94,135
20511,42 plus 72,114
20512,28 add 60,88
20513,55 plus 62,117
20514,75 plus 44,119
20515,17 plus 29,46
20516,52 add 42,94
20517,58 minus 55,3
20518,17 subtract 91,-74
20519,82 subtract 92,-10
20520,38 add 40,78
20521,47 plus 27,74
20522,95 add 33,128
20523,24 add 15,39
20524,78 plus 50,128
20525,54 minus 91,-37
20526,48 subtract 15,33
20527,25 add 84,109
20528,58 minus 100,-42
20529,43 minus 36,7
20530,58 add 45,103
20531,78 minus 29,49
20532,31 minus 11,20
20533,59 subtract 64,-5
20534,90 plus 8,98
20535,50 minus 5,45
20536,22 plus 4,26
20537,65 plus 68,133
20538,83 plus 67,150
20539,75 plus 4,79
20540,83 plus 80,163
20541,59 subtract 87,-28
20542,75 minus 14,61
20543,86 plus 78,164
20544,20 plus 13,33
20545,24 plus 76,100
20546,5 plus 22,27
20547,88 plus 54,142
20548,57 minus 93,-36
20549,44 minus 49,-5
20550,20 minus 16,4
20551,13 plus 47,60
20552,72 plus 19,91
20553,69 plus 60,129
20554,25 plus 90,115
20555,27 minus 42,-15
20556,55 plus 85,140
20557,21 add 71,92
20558,12 minus 30,-18
20559,25 add 38,63
20560,44 add 89,133
20561,98 add 89,187
20562,4 minus 29,-25
20563,66 plus 86,152
20564,8 minus 26,-18
20565,42 plus 43,85
20566,85 add 81,166
20567,46 minus 99,-53
20568,66 plus 12,78
20569,96 minus 37,59
20570,97 minus 64,33
20571,22 plus 16,38
20572,6 subtract 50,-44
20573,40 plus 78,118
20574,51 subtract 73,-22
20575,24 subtract 70,-46
20576,69 plus 78,147
20577,10 add 83,93
20578,56 add 63,119
20579,70 add 75,145
20580,62 add 19,81
20581,31 minus 80,-49
20582,42 minus 88,-46
20583,28 minus 94,-66
20584,5 subtract 14,-9
20585,39 subtract 94,-55
20586,14 subtract 59,-45
20587,73 plus 41,114
20588,55 plus 36,91
20589,78 subtract 21,57
20590,66 plus 63,129
20591,52 plus 34,86
20592,26 subtract 68,-42
20593,99 minus 71,28
20594,34 subtract 86,-52
20595,42 add 63,105
20596,58 minus 58,0
20597,48 add 10,58
20598,26 plus 83,109
20599,70 minus 81,-11
20600,81 plus 97,178
20601,63 plus 64,127
20602,39 plus 23,62
20603,80 minus 28,52
20604,49 subtract 45,4
20605,70 minus 37,33
20606,23 minus 45,-22
20607,97 subtract 39,58
20608,83 add 48,131
20609,88 subtract 68,20
20610,37 add 100,137
20611,53 add 93,146
20612,89 subtract 58,31
20613,6 minus 47,-41
20614,99 add 46,145
20615,94 plus 13,107
20616,35 plus 87,122
20617,12 minus 44,-32
20618,97 plus 91,188
20619,73 add 89,162
20620,89 minus 52,37
20621,23 minus 45,-22
20622,72 add 85,157
20623,69 plus 59,128
20624,8 minus 75,-67
20625,69 add 33,102
20626,17 subtract 73,-56
20627,59 minus 22,37
20628,91 plus 78,169
20629,91 minus 68,23
20630,23 add 68,91
20631,10 add 94,104
20632,80 plus 53,133
20633,75 plus 40,115
20634,31 minus 31,0
20635,13 plus 83,96
20636,21 subtract 82,-61
20637,15 subtract 52,-37
20638,28 minus 26,2
20639,13 plus 70,83
20640,2 subtract 60,-58
20641,72 subtract 62,10
20642,89 add 64,153
20643,98 minus 19,79
20644,93 plus 34,127
20645,52 minus 93,-41
20646,19 plus 15,34
20647,30 minus 60,-30
20648,27 add 47,74
20649,5 plus 17,22
20650,31 subtract 43,-12
20651,54 add 23,77
20652,50 subtract 28,22
20653,89 minus 59,30
20654,7 minus 3,4
20655,96 minus 6,90
20656,90 minus 86,4
20657,41 add 12,53
20658,67 add 87,154
20659,10 add 73,83
20660,48 minus 99,-51
20661,27 subtract 26,1
20662,11 minus 54,-43
20663,100 add 48,148
20664,3 minus 67,-64
20665,40 minus 30,10
20666,43 plus 81,124
20667,69 minus 20,49
20668,50 add 87,137
20669,48 add 34,82
20670,92 subtract 36,56
20671,88 minus 6,82
20672,90 add 75,165
20673,40 minus 60,-20
20674,47 subtract 77,-30
20675,34 minus 51,-17
20676,42 add 63,105
20677,85 add 64,149
20678,20 minus 78,-58
20679,68 add 7,75
20680,68 plus 32,100
20681,88 plus 85,173
20682,90 add 75,165
20683,15 add 22,37
20684,61 minus 41,20
20685,41 add 86,127
20686,60 subtract 52,8
20687,51 minus 92,-41
20688,26 add 76,102
20689,99 add 4,103
20690,83 plus 28,111
20691,43 add 47,90
20692,73 plus 56,129
20693,24 plus 51,75
20694,99 plus 67,166
20695,69 subtract 98,-29
20696,66 subtract 55,11
20697,65 subtract 43,22
20698,93 add 28,121
20699,38 add 45,83
20700,54 subtract 16,38
20701,69 plus 84,153
20702,53 minus 30,23
20703,87 add 30,117
20704,12 add 80,92
20705,33 minus 80,-47
20706,6 plus 36,42
20707,38 plus 85,123
20708,43 plus 80,123
20709,68 subtract 67,1
20710,93 add 15,108
20711,44 minus 42,2
20712,47 add 11,58
20713,20 subtract 92,-72
20714,48 add 63,111
20715,40 subtract 18,22
20716,82 subtract 59,23
20717,84 plus 9,93
20718,83 add 79,162
20719,52 minus 31,21
20720,2 minus 83,-81
20721,26 minus 6,20
20722,99 add 42,141
20723,21 add 42,63
20724,54 subtract 78,-24
20725,27 subtract 65,-38
20726,61 plus 64,125
20727,68 subtract 74,-6
20728,5 subtract 38,-33
20729,99 subtract 58,41
20730,86 minus 90,-4
20731,13 subtract 77,-64
20732,61 subtract 45,16
20733,74 minus 17,57
20734,43 add 92,135
20735,27 subtract 79,-52
20736,15 add 75,90
20737,29 add 3,32
20738,35 subtract 67,-32
20739,94 minus 65,29
20740,31 subtract 45,-14
20741,70 plus 31,101
20742,37 subtract 14,23
20743,22 minus 8,14
20744,97 add 91,188
20745,39 minus 35,4
20746,85 add 68,153
20747,19 plus 10,29
20748,12 plus 97,109
20749,56 subtract 82,-26
20750,50 minus 61,-11
20751,93 plus 77,170
20752,84 subtract 78,6
20753,86 add 37,123
20754,70 subtract 33,37
20755,63 minus 16,47
20756,59 minus 85,-26
20757,92 subtract 42,50
20758,49 minus 62,-13
20759,83 minus 96,-13
20760,82 add 83,165
20761,95 subtract 87,8
20762,61 plus 29,90
20763,86 add 41,127
20764,84 add 34,118
20765,87 minus 10,77
20766,96 plus 67,163
20767,56 subtract 99,-43
20768,38 minus 23,15
20769,16 minus 31,-15
20770,47 add 18,65
20771,59 subtract 9,50
20772,71 add 94,165
20773,39 plus 64,103
20774,23 minus 86,-63
20775,88 minus 47,41
20776,49 subtract 37,12
20777,62 add 30,92
20778,27 plus 31,58
20779,75 subtract 93,-18
20780,97 subtract 58,39
20781,91 add 64,155
20782,91 minus 44,47
20783,61 add 78,139
20784,41 subtract 13,28
20785,63 subtract 55,8
20786,7 add 61,68
20787,74 add 87,161
20788,38 subtract 48,-10
20789,93 plus 51,144
20790,86 add 64,150
20791,48 add 97,145
20792,68 minus 37,31
20793,95 minus 74,21
20794,81 add 61,142
20795,26 minus 78,-52
20796,84 subtract 57,27
20797,43 minus 62,-19
20798,100 plus 26,126
20799,75 minus 91,-16
20800,18 subtract 64,-46
20801,99 add 62,161
20802,24 subtract 10,14
20803,66 subtract 98,-32
20804,23 subtract 53,-30
20805,6 subtract 5,1
20806,46 add 23,69
20807,29 minus 70,-41
20808,4 subtract 25,-21
20809,13 subtract 68,-55
20810,79 add 80,159
20811,10 add 85,95
20812,57 minus 52,5
20813,59 add 74,133
20814,67 plus 37,104
20815,43 minus 6,37
20816,2 add 70,72
20817,1 add 62,63
20818,97 minus 59,38
20819,57 minus 17,40
20820,64 subtract 4,60
20821,83 subtract 60,23
20822,91 plus 96,187
20823,55 subtract 65,-10
20824,6 minus 37,-31
20825,38 add 31,69
20826,91 add 8,99
20827,9 minus 56,-47
20828,20 subtract 2,18
20829,64 minus 54,10
20830,95 subtract 96,-1
20831,94 subtract 13,81
20832,92 plus 72,164
20833,70 subtract 27,43
20834,1 add 62,63
20835,70 add 32,102
20836,56 add 96,152
20837,10 plus 77,87
20838,50 subtract 50,0
20839,92 add 65,157
20840,58 subtract 89,-31
20841,74 subtract 71,3
20842,71 minus 78,-7
20843,35 minus 78,-43
20844,47 plus 49,96
20845,14 minus 70,-56
20846,90 plus 98,188
20847,21 add 65,86
20848,57 subtract 57,0
20849,62 add 22,84
20850,83 subtract 65,18
20851,85 subtract 82,3
20852,50 plus 71,121
20853,75 minus 41,34
20854,8 plus 39,47
20855,40 plus 76,116
20856,37 plus 43,80
20857,65 subtract 65,0
20858,66 subtract 93,-27
20859,2 subtract 71,-69
20860,90 plus 28,118
20861,51 minus 55,-4
20862,5 minus 6,-1
20863,52 add 47,99
20864,59 add 49,108
20865,25 minus 31,-6
20866,36 minus 75,-39
20867,54 add 11,65
20868,15 add 69,84
20869,47 plus 96,143
20870,81 minus 47,34
20871,39 subtract 36,3
20872,86 add 95,181
20873,27 minus 55,-28
20874,72 add 80,152
20875,39 minus 10,29
20876,20 plus 25,45
20877,10 plus 95,105
20878,78 plus 14,92
20879,46 minus 20,26
20880,40 minus 97,-57
20881,79 add 64,143
20882,13 minus 48,-35
20883,1 add 16,17
20884,39 add 77,116
20885,65 minus 84,-19
20886,40 minus 65,-25
20887,10 add 23,33
20888,72 subtract 84,-12
20889,100 plus 100,200
20890,48 plus 75,123
20891,29 add 6,35
20892,65 minus 28,37
20893,78 subtract 23,55
20894,62 plus 65,127
20895,32 minus 27,5
20896,52 add 40,92
20897,100 minus 24,76
20898,26 add 80,106
20899,75 add 30,105
20900,88 minus 32,56
20901,34 plus 49,83
20902,92 add 58,150
20903,49 minus 22,27
20904,99 minus 89,10
20905,92 minus 14,78
20906,27 plus 37,64
20907,20 minus 99,-79
20908,91 minus 7,84
20909,51 plus 96,147
20910,72 subtract 19,53
20911,14 plus 59,73
20912,36 minus 20,16
20913,74 minus 76,-2
20914,97 subtract 30,67
20915,1 plus 10,11
20916,11 minus 31,-20
20917,55 plus 35,90
20918,32 minus 26,6
20919,54 add 42,96
20920,8 plus 84,92
20921,59 add 34,93
20922,26 add 83,109
20923,95 add 90,185
20924,5 subtract 1,4
20925,3 minus 78,-75
20926,31 subtract 92,-61
20927,72 plus 31,103
20928,53 add 1,54
20929,31 plus 29,60
20930,26 minus 77,-51
20931,55 minus 52,3
20932,62 minus 32,30
20933,14 subtract 94,-80
20934,69 minus 45,24
20935,70 minus 29,41
20936,22 plus 19,41
20937,84 minus 93,-9
20938,55 add 54,109
20939,36 add 3,39
20940,36 minus 18,18
20941,14 minus 5,9
20942,27 subtract 53,-26
20943,5 subtract 21,-16
20944,86 plus 96,182
20945,79 plus 95,174
20946,2 subtract 83,-81
20947,31 minus 24,7
20948,94 add 25,119
20949,81 subtract 97,-16
20950,75 plus 89,164
20951,30 plus 20,50
20952,57 subtract 50,7
20953,58 plus 2,60
20954,89 add 94,183
20955,73 add 35,108
20956,52 minus 4,48
20957,56 plus 74,130
20958,25 subtract 22,3
20959,31 add 9,40
20960,64 minus 41,23
20961,12 plus 28,40
20962,40 add 5,45
20963,33 add 51,84
20964,83 add 77,160
20965,89 plus 98,187
20966,81 minus 59,22
20967,87 subtract 30,57
20968,19 add 69,88
20969,70 plus 52,122
20970,26 add 66,92
20971,10 add 37,47
20972,46 plus 19,65
20973,35 add 64,99
20974,18 add 50,68
20975,77 subtract 37,40
20976,6 add 13,19
20977,71 subtract 23,48
20978,73 add 46,119
20979,34 subtract 94,-60
20980,96 subtract 2,94
20981,90 minus 43,47
20982,69 plus 62,131
20983,44 add 36,80
20984,3 subtract 24,-21
20985,52 plus 75,127
20986,96 minus 56,40
20987,38 add 57,95
20988,22 plus 44,66
20989,46 subtract 40,6
20990,55 subtract 58,-3
20991,13 subtract 77,-64
20992,13 add 4,17
20993,92 add 71,163
20994,90 add 76,166
20995,86 plus 96,182
20996,33 plus 80,113
20997,86 add 27,113
20998,62 add 81,143
20999,12 add 87,99
21000,81 add 98,179
21001,57 plus 38,95
21002,28 plus 25,53
21003,41 plus 85,126
21004,20 plus 51,71
21005,16 add 60,76
21006,83 subtract 41,42
21007,1 minus 5,-4
21008,49 plus 100,149
21009,4 add 19,23
21010,42 add 60,102
21011,26 plus 57,83
21012,41 plus 33,74
21013,66 minus 38,28
21014,27 add 19,46
21015,64 add 59,123
21016,8 plus 24,32
21017,88 plus 89,177
21018,79 add 63,142
21019,8 subtract 45,-37
21020,98 add 57,155
21021,72 subtract 87,-15
21022,33 plus 71,104
21023,10 plus 58,68
21024,69 minus 21,48
21025,61 plus 69,130
21026,58 plus 93,151
21027,75 add 44,119
21028,22 plus 74,96
21029,4 plus 69,73
21030,20 minus 87,-67
21031,71 subtract 71,0
21032,79 subtract 62,17
21033,44 minus 73,-29
21034,36 plus 48,84
21035,58 plus 12,70
21036,17 plus 89,106
21037,91 add 8,99
21038,71 subtract 63,8
21039,85 subtract 19,66
21040,43 plus 1,44
21041,72 minus 5,67
21042,51 add 45,96
21043,67 plus 34,101
21044,5 plus 15,20
21045,38 subtract 45,-7
21046,7 subtract 2,5
21047,90 add 34,124
21048,40 subtract 89,-49
21049,21 minus 86,-65
21050,34 minus 64,-30
21051,41 minus 46,-5
21052,9 add 92,101
21053,42 add 26,68
21054,54 subtract 73,-19
21055,28 subtract 42,-14
21056,75 add 62,137
21057,45 subtract 73,-28
21058,94 plus 76,170
21059,26 add 88,114
21060,88 add 17,105
21061,28 subtract 56,-28
21062,72 plus 35,107
21063,75 plus 47,122
21064,40 subtract 98,-58
21065,88 plus 91,179
21066,92 plus 88,180
21067,3 plus 41,44
21068,38 plus 70,108
21069,73 subtract 67,6
21070,93 add 84,177
21071,55 plus 14,69
21072,100 subtract 55,45
21073,88 add 82,170
21074,61 minus 33,28
21075,39 plus 26,65
21076,77 minus 98,-21
21077,32 add 77,109
21078,62 plus 49,111
21079,22 minus 8,14
21080,9 plus 27,36
21081,44 add 44,88
21082,53 plus 94,147
21083,25 plus 97,122
21084,89 add 37,126
21085,15 add 31,46
21086,19 subtract 29,-10
21087,39 plus 41,80
21088,54 add 83,137
21089,45 minus 5,40
21090,47 subtract 51,-4
21091,27 minus 63,-36
21092,27 add 4,31
21093,33 minus 53,-20
21094,54 subtract 96,-42
21095,36 add 75,111
21096,4 subtract 71,-67
21097,45 minus 43,2
21098,46 minus 58,-12
21099,33 minus 37,-4
21100,14 plus 37,51
21101,47 subtract 32,15
21102,3 minus 93,-90
21103,90 subtract 24,66
21104,57 add 57,114
21105,62 minus 4,58
21106,25 plus 73,98
21107,98 subtract 50,48
21108,83 add 71,154
21109,38 plus 54,92
21110,4 minus 32,-28
21111,41 minus 56,-15
21112,72 subtract 9,63
21113,41 subtract 73,-32
21114,92 subtract 63,29
21115,69 add 53,122
21116,86 minus 31,55
21117,32 minus 10,22
21118,2 plus 58,60
21119,5 add 33,38
21120,6 add 31,37
21121,50 add 81,131
21122,71 subtract 17,54
21123,84 subtract 99,-15
21124,72 minus 79,-7
21125,54 add 76,130
21126,99 add 21,120
21127,47 add 4,51
21128,25 plus 13,38
21129,76 plus 33,109
21130,45 add 32,77
21131,72 subtract 70,2
21132,77 plus 76,153
21133,34 subtract 40,-6
21134,95 plus 72,167
21135,34 add 93,127
21136,97 minus 34,63
21137,29 add 67,96
21138,2 subtract 64,-62
21139,53 add 87,140
21140,73 plus 28,101
21141,75 add 82,157
21142,56 minus 97,-41
21143,5 plus 50,55
21144,62 add 68,130
21145,49 plus 11,60
21146,25 minus 76,-51
21147,52 add 14,66
21148,97 subtract 66,31
21149,71 add 28,99
21150,30 plus 2,32
21151,53 subtract 32,21
21152,23 subtract 36,-13
21153,24 subtract 11,13
21154,99 subtract 52,47
21155,41 plus 52,93
21156,50 plus 75,125
21157,11 add 42,53
21158,19 add 16,35
21159,22 plus 65,87
21160,57 plus 41,98
21161,65 plus 26,91
21162,84 plus 37,121
21163,84 add 64,148
21164,40 minus 91,-51
21165,28 minus 6,22
21166,76 minus 77,-1
21167,32 add 57,89
21168,80 add 16,96
21169,36 add 83,119
21170,10 plus 72,82
21171,88 add 68,156
21172,71 subtract 62,9
21173,81 subtract 14,67
21174,31 plus 85,116
21175,8 subtract 19,-11
21176,30 add 30,60
21177,66 minus 20,46
21178,33 subtract 61,-28
21179,21 subtract 42,-21
21180,21 subtract 66,-45
21181,10 add 76,86
21182,5 subtract 75,-70
21183,17 add 12,29
21184,77 add 30,107
21185,14 add 91,105
21186,17 minus 49,-32
21187,16 minus 17,-1
21188,40 subtract 17,23
21189,61 plus 79,140
21190,65 plus 90,155
21191,60 minus 41,19
21192,51 plus 21,72
21193,37 plus 99,136
21194,41 add 12,53
21195,30 plus 1,31
21196,67 subtract 72,-5
21197,10 subtract 16,-6
21198,60 plus 24,84
21199,54 plus 34,88
21200,47 minus 13,34
21201,15 plus 85,100
21202,67 minus 93,-26
21203,95 minus 90,5
21204,33 plus 54,87
21205,52 plus 37,89
21206,76 minus 50,26
21207,35 plus 99,134
21208,98 subtract 11,87
21209,42 plus 31,73
21210,33 minus 60,-27
21211,76 minus 52,24
21212,30 plus 94,124
21213,65 minus 33,32
21214,68 subtract 56,12
21215,47 add 27,74
21216,3 minus 97,-94
21217,74 subtract 22,52
21218,69 subtract 53,16
21219,38 subtract 64,-26
21220,42 add 25,67
21221,100 add 84,184
21222,85 plus 96,181
21223,87 add 88,175
21224,39 subtract 39,0
21225,27 plus 48,75
21226,51 subtract 15,36
21227,25 subtract 76,-51
21228,50 subtract 79,-29
21229,40 minus 100,-60
21230,63 subtract 27,36
21231,91 plus 34,125
21232,44 subtract 18,26
21233,82 minus 79,3
21234,50 minus 45,5
21235,91 add 44,135
21236,9 minus 38,-29
21237,85 plus 15,100
21238,5 minus 75,-70
21239,90 minus 77,13
21240,75 subtract 10,65
21241,51 subtract 60,-9
21242,21 minus 1,20
21243,83 minus 77,6
21244,80 subtract 71,9
21245,6 plus 60,66
21246,52 subtract 100,-48
21247,45 add 97,142
21248,49 subtract 53,-4
21249,85 minus 81,4
21250,22 minus 54,-32
21251,18 subtract 93,-75
21252,84 subtract 18,66
21253,96 plus 87,183
21254,39 plus 72,111
21255,34 minus 52,-18
21256,57 add 64,121
21257,74 add 100,174
21258,47 add 60,107
21259,31 add 72,103
21260,81 plus 30,111
21261,68 add 67,135
21262,77 subtract 31,46
21263,90 subtract 7,83
21264,10 minus 70,-60
21265,37 minus 100,-63
21266,87 plus 55,142
21267,45 plus 36,81
21268,69 plus 15,84
21269,28 subtract 12,16
21270,14 minus 75,-61
21271,86 subtract 97,-11
21272,11 plus 48,59
21273,83 minus 67,16
21274,63 add 39,102
21275,30 subtract 45,-15
21276,63 plus 71,134
21277,21 subtract 24,-3
21278,93 minus 66,27
21279,31 plus 49,80
21280,47 minus 92,-45
21281,28 minus 88,-60
21282,89 subtract 33,56
21283,100 minus 42,58
21284,13 subtract 44,-31
21285,97 add 89,186
21286,62 plus 33,95
21287,92 add 35,127
21288,83 subtract 86,-3
21289,93 plus 41,134
21290,49 subtract 52,-3
21291,8 plus 64,72
21292,40 add 99,139
21293,84 minus 6,78
21294,67 subtract 80,-13
21295,49 add 53,102
21296,1 subtract 33,-32
21297,14 minus 52,-38
21298,15 plus 40,55
21299,13 minus 75,-62
21300,12 plus 64,76
21301,61 plus 94,155
21302,72 subtract 22,50
21303,70 subtract 43,27
21304,64 plus 90,154
21305,45 minus 100,-55
21306,62 add 34,96
21307,91 plus 10,101
21308,31 minus 32,-1
21309,38 minus 52,-14
21310,95 subtract 45,50
21311,84 subtract 96,-12
21312,9 subtract 61,-52
21313,92 minus 24,68
21314,28 subtract 76,-48
21315,38 add 39,77
21316,53 subtract 82,-29
21317,43 add 11,54
21318,99 plus 66,165
21319,26 plus 87,113
21320,98 plus 9,107
21321,15 plus 57,72
21322,55 plus 64,119
21323,74 minus 62,12
21324,78 add 89,167
21325,78 add 28,106
21326,44 subtract 13,31
21327,70 plus 10,80
21328,47 plus 92,139
21329,28 subtract 94,-66
21330,79 subtract 76,3
21331,35 add 7,42
21332,11 subtract 88,-77
21333,15 add 56,71
21334,46 subtract 25,21
21335,93 plus 88,181
21336,90 minus 6,84
21337,58 plus 85,143
21338,96 plus 58,154
21339,34 minus 48,-14
21340,26 minus 19,7
21341,39 minus 100,-61
21342,17 subtract 42,-25
21343,72 subtract 53,19
21344,57 subtract 5,52
21345,92 subtract 39,53
21346,81 add 96,177
21347,31 add 13,44
21348,40 subtract 31,9
21349,20 plus 18,38
21350,37 add 12,49
21351,30 subtract 64,-34
21352,52 subtract 10,42
21353,62 subtract 12,50
21354,96 add 5,101
21355,57 plus 99,156
21356,8 add 88,96
21357,78 minus 9,69
21358,24 subtract 63,-39
21359,35 subtract 44,-9
21360,69 plus 74,143
21361,15 minus 90,-75
21362,36 minus 23,13
21363,7 minus 12,-5
21364,12 plus 98,110
21365,80 subtract 61,19
21366,60 subtract 52,8
21367,68 minus 46,22
21368,8 minus 97,-89
21369,49 add 28,77
21370,55 plus 60,115
21371,20 subtract 85,-65
21372,73 subtract 32,41
21373,34 add 78,112
21374,95 minus 91,4
21375,33 plus 4,37
21376,79 plus 72,151
21377,77 plus 53,130
21378,39 minus 38,1
21379,98 add 28,126
21380,31 plus 76,107
21381,37 add 92,129
21382,89 minus 57,32
21383,43 subtract 13,30
21384,9 minus 10,-1
21385,95 add 19,114
21386,78 plus 96,174
21387,21 subtract 82,-61
21388,48 plus 20,68
21389,75 add 49,124
21390,60 subtract 90,-30
21391,30 add 24,54
21392,63 plus 99,162
21393,18 plus 33,51
21394,78 add 100,178
21395,12 plus 7,19
21396,90 subtract 35,55
21397,10 plus 55,65
21398,40 minus 4,36
21399,35 plus 29,64
21400,22 plus 94,116
21401,62 add 58,120
21402,51 plus 70,121
21403,70 add 32,102
21404,92 minus 18,74
21405,24 add 17,41
21406,61 add 10,71
21407,74 subtract 74,0
21408,11 add 21,32
21409,89 subtract 16,73
21410,90 subtract 88,2
21411,67 plus 81,148
21412,40 subtract 29,11
21413,37 subtract 57,-20
21414,62 plus 22,84
21415,38 subtract 91,-53
21416,67 add 67,134
21417,79 add 11,90
21418,30 subtract 84,-54
21419,35 add 92,127
21420,41 plus 38,79
21421,67 plus 15,82
21422,19 plus 18,37
21423,71 plus 89,160
21424,62 add 33,95
21425,74 add 2,76
21426,47 minus 98,-51
21427,95 subtract 83,12
21428,2 add 94,96
21429,46 subtract 99,-53
21430,47 minus 95,-48
21431,16 minus 59,-43
21432,82 subtract 55,27
21433,28 subtract 11,17
21434,27 minus 38,-11
21435,83 minus 30,53
21436,23 plus 65,88
21437,57 minus 33,24
21438,27 plus 34,61
21439,82 subtract 64,18
21440,18 plus 76,94
21441,81 minus 81,0
21442,54 minus 34,20
21443,52 subtract 13,39
21444,11 add 96,107
21445,29 plus 32,61
21446,22 subtract 91,-69
21447,35 add 49,84
21448,71 plus 17,88
21449,58 plus 64,122
21450,73 subtract 89,-16
21451,32 add 94,126
21452,36 add 68,104
21453,18 add 66,84
21454,40 minus 82,-42
21455,76 minus 75,1
21456,31 plus 71,102
21457,16 minus 44,-28
21458,88 subtract 76,12
21459,33 minus 25,8
21460,96 minus 64,32
21461,80 plus 74,154
21462,22 minus 92,-70
21463,57 add 35,92
21464,18 minus 77,-59
21465,74 minus 14,60
21466,100 add 91,191
21467,86 plus 88,174
21468,63 add 50,113
21469,61 plus 63,124
21470,41 subtract 96,-55
21471,89 subtract 64,25
21472,76 plus 62,138
21473,17 minus 92,-75
21474,21 plus 63,84
21475,81 minus 21,60
21476,7 subtract 6,1
21477,22 minus 97,-75
21478,87 plus 83,170
21479,92 subtract 51,41
21480,51 plus 20,71
21481,20 minus 32,-12
21482,31 plus 46,77
21483,49 add 71,120
21484,39 add 73,112
21485,16 subtract 54,-38
21486,9 add 54,63
21487,18 minus 13,5
21488,12 add 42,54
21489,68 subtract 66,2
21490,25 minus 77,-52
21491,24 plus 15,39
21492,54 minus 99,-45
21493,35 minus 48,-13
21494,85 subtract 70,15
21495,89 subtract 57,32
21496,17 minus 54,-37
21497,37 plus 66,103
21498,99 subtract 69,30
21499,19 plus 95,114
21500,48 plus 83,131
21501,61 add 51,112
21502,20 minus 81,-61
21503,1 subtract 42,-41
21504,76 add 83,159
21505,50 add 63,113
21506,17 plus 72,89
21507,35 minus 87,-52
21508,3 add 63,66
21509,80 subtract 61,19
21510,5 plus 29,34
21511,54 plus 95,149
21512,26 add 15,41
21513,7 minus 28,-21
21514,64 add 29,93
21515,38 plus 15,53
21516,21 plus 69,90
21517,12 add 76,88
21518,58 subtract 38,20
21519,49 plus 45,94
21520,10 add 86,96
21521,49 minus 93,-44
21522,43 plus 19,62
21523,98 add 18,116
21524,28 plus 52,80
21525,58 subtract 3,55
21526,29 minus 31,-2
21527,71 subtract 45,26
21528,29 minus 16,13
21529,76 plus 63,139
21530,52 plus 87,139
21531,78 minus 16,62
21532,12 add 83,95
21533,15 subtract 53,-38
21534,42 add 2,44
21535,35 plus 96,131
21536,77 subtract 62,15
21537,18 minus 98,-80
21538,83 add 28,111
21539,73 subtract 44,29
21540,96 add 41,137
21541,90 minus 88,2
21542,20 subtract 97,-77
21543,96 plus 73,169
21544,73 subtract 72,1
21545,54 add 13,67
21546,51 plus 46,97
21547,68 minus 81,-13
21548,41 add 2,43
21549,37 minus 74,-37
21550,85 add 52,137
21551,45 add 35,80
21552,22 minus 74,-52
21553,55 minus 10,45
21554,76 subtract 11,65
21555,37 add 47,84
21556,27 add 80,107
21557,76 add 23,99
21558,59 add 98,157
21559,10 plus 62,72
21560,65 add 23,88
21561,18 subtract 81,-63
21562,34 minus 80,-46
21563,82 plus 52,134
21564,6 plus 71,77
21565,49 minus 68,-19
21566,64 subtract 48,16
21567,80 subtract 77,3
21568,3 plus 43,46
21569,99 subtract 21,78
21570,31 add 76,107
21571,20 minus 1,19
21572,93 plus 18,111
21573,57 add 19,76
21574,22 plus 70,92
21575,29 add 11,40
21576,28 add 89,117
21577,29 subtract 31,-2
21578,13 minus 44,-31
21579,66 minus 10,56
21580,42 subtract 63,-21
21581,42 subtract 14,28
21582,45 subtract 39,6
21583,65 add 6,71
21584,37 minus 17,20
21585,78 add 50,128
